ID,PPDE,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
ENSG00000005102_MEOX1,1,0.469725361,0,0,0,11.93655191,18.11161506,17.64494992,10.29661896,2.241235824,99.61751299,1.748226696,26.32011814,0,0,0,0
ENSG00000015475_BID,1,31.00187383,39.18805776,34.61961536,36.88844241,18.16431812,8.746400774,13.23371244,20.59323791,8.40463434,4.859390878,9.207327267,0,12.63980587,7.336770491,19.41137462,18.96652323
ENSG00000026025_VIM,1,544.4116935,745.5798252,847.0265893,516.7965386,247.0762449,329.3446269,369.4940738,150.1658909,86.28757922,24.29695439,89.15956151,125.0205612,23.08725921,1.834192623,34.94047432,0
ENSG00000034510_TMSB10,1,361.688528,347.9629267,328.886346,349.9132251,133.377993,174.324295,181.7562179,141.0636797,90.20974191,80.17994948,90.90778821,32.90014767,50.12336811,12.83934836,88.90409577,25.28869764
ENSG00000053702_NRIP2,1,0,0.567551181,0.576993589,0,0,0,0,0,10.64587016,0,1.165484464,0,6.542189176,58.69416393,19.73360344,56.89956968
ENSG00000068831_RASGRP2,1,14.56148619,22.29665356,23.65673717,12.64746597,0.518980518,1.509301255,1.764494992,0,1.680926868,0,0,13.16005907,1.307566125,0,0,0
ENSG00000076924_XAB2,1,3.288077527,3.378280842,5.192942305,1.053955497,3.113883106,2.263951883,0,3.088985687,21.29174033,43.7345179,25.05791598,46.06020674,5.230264498,9.170963114,0.776454985,25.28869764
ENSG00000083845_RPS5,1,1600.354305,1590.49462,1525.357563,2094.177954,941.4306591,984.0644184,1003.556527,1007.009334,589.4394186,157.9302035,706.6448855,250.0411223,549.9753876,113.7199426,662.3161021,233.9204531
ENSG00000089199_CHGB,1,0,0,0,0,8.303688283,0,0,1.029661896,10.64587016,0,27.97162714,0,33.12500849,5.502577869,13.19973474,0
ENSG00000090382_LYZ,1,9.014029679,15.80359778,32.46165934,258.6512186,44.62194491,112.1788158,40.58779606,11.04827214,0,0,0,0,0,0,0,0
ENSG00000091409_ITGA6,1,17.37983836,23.64796589,43.8515128,11.59351047,2.594902588,0,0,1.029661896,0,0,0,0,0.87171075,0,0,0
ENSG00000100453_GZMB,1,6.576155055,6.080905515,47.31347433,172.8487016,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000101439_CST3,1,7.515605777,15.54009187,10.38588461,94.85599476,3.632863624,21.13021757,15.43933118,1.029661896,0,0,0,0,2.615132249,1.834192623,1.55290997,6.322174409
ENSG00000103426_CORO7-PAM16,1,0.16910113,0,24.72417531,0,0,0,0,0,4.807450842,279.5121633,0,0,0,58.85924127,0,96.98215544
